preco,endereco,detalhe_localizacao,caracteristicas,descricao
R$ 1.900.000,Rua Vintino Seraphim,"Jardim Santana, Franca","294 m² tot.
3 quartos
4 ban.
3 vagas","Apresentamos esta incrível residência de alto padrão, projetada para quem busca conforto, sofisticação e tecnologia em um só lugar. Com 294m² de terreno e 230m² de construção, esta casa foi pensada em cada detalhe para oferecer funcionalidade, privacidade e lazer para toda a família. 3 suítes espaçosas, com excelente iluminação natural. Escritório reservado, ideal para home office. Cozinha integrada à sala de jantar e estar. Piscina central com iluminação, hidro e aquecimento. Ambientes com acabamento em madeira, régua de concreto e ripados de alumínio. Automação residencial completa e sistema de som embutido. Aquecimento solar. Pré-instalação para carregador de carro elétrico. Jardim com irrigação automatizada. 3 vagas de garagem coberta. Este imóvel é perfeito para quem valoriza o design contemporâneo, a sustentabilidade e a praticidade no dia a dia. Localização privilegiada em bairro tranquilo e de fácil acesso."
R$ 180.000,Rua José Henrique de Almeida 3900,"Parque Santa Hilda, Franca",250 m² tot.,250m² Vizinhos definidos. ótima localização. Já aterrado
R$ 420.000,Endereço não informado,"Vila Santa Cruz, Franca","140 m² tot.
3 quartos
2 ban.
2 vagas","3 Dormitórios sendo 1 Suíte c/ Closet. Sala de Tv e Jantar Integrados c/ Pé Direito Alto. Cozinha Moderna. Banheiros c/ Pia Esculpida e Nicho. Lavanderia Coberta c/ Corredor Lateral. Garagem p/ 2 Carros. Área Gourmet. Iluminação em Led. Preparado p/ Aquecimento. Acabamento Fino em Porcelanato. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. . br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: B21Q8rubsfbv7bTz"
R$ 2.200.000,Endereço não informado,"Parque Universitário, Franca","327 m² tot.
3 quartos
3 ban.
2 vagas","Sobrado em condomínio fechado&#xD; &#xD; Sobrado com 3 suítes&#xD; &#xD; Documentação pronta para financiamento. &#xD; &#xD; Vista linda para a zona rural, livre e definitiva, sem vizinhos de frente. &#xD; &#xD; O imóvel conta com: &#xD; 327, 00 metros de terreno. &#xD; 217, 00 metros de construção. &#xD; &#xD; -3 suítes, sendo duas no pavimento térreo, e uma no pavimento superior. &#xD; &#xD; -Escritório. &#xD; &#xD; -Persianas automatizadas. &#xD; -Pré instalação de ar condicionado em 8 cômodos. &#xD; -Marcenaria completa. &#xD; -Todas as bancadas em quartzito Mont Blanc(branco e cinza). &#xD; -Torneiras monocomando e louças deca. &#xD; -4 pontos preparados para instalação de câmera. &#xD; -Cabeamento de internet com fio já instalado em toda casa. &#xD; -todos os espelhos com led frontal e touch. &#xD; -Portas Pormade. &#xD; &#xD; -sala e lavabo. &#xD; &#xD; -cozinha principal com ilha, forno, microondas, cooktop, depurador. &#xD; &#xD; -Área gourmet completa, com lavabo, sala de jogos, churrasqueira, armários planejados, cooktop, forno; (possibilidade de instalar uma porta, separando os ambientes). &#xD; &#xD; -Piscina grande aquecida com led e hidromassagem. &#xD; -Duchas;&#xD; -esquadrias em alumínio com vidro reflecta;&#xD; -Lavanderia com aquecimento&#xD; -toda a casa com encanamento tigre( 80 anos de garantia). &#xD; - Boiler de aquecimento com tubo à vácuo. &#xD; &#xD; -todos os banheiros com espelhos de led frontal e touch e box. &#xD; -Paisagismo;&#xD; -Garagem para 2 carros grandes;&#xD; -Aceita financiamento. &#xD; &#xD; Entre em contato&#xD; &#xD; João Paulo&#xD; 16 Ver dados - 31/08/2025"
R$ 540.000,Endereço não informado,"Jardim Integração, Franca","100 m² tot.
3 quartos
2 ban.
1 vaga",Excelente apartamento no Jardim Integração! &#xD; &#xD; 3 quartos sendo 1 suite armário planejado nos 3 quartos &#xD; 1 banheiro social&#xD; Sala de tv tem planejado e ar condicionado &#xD; Sala de jantar&#xD; Cozinha e área de serviço rico em planejado também e na cozinha tem uma mesinha que comporta 2 cadeiras&#xD; &#xD; Apartamento de 100m²&#xD; 2 vagas de garagem cobertas &#xD; Portaria 24 horas - 31/08/2025
R$ 470.000,Endereço não informado,"Franca, São Paulo","200 m² tot.
2 quartos
2 ban.
2 vagas","2 Dormitórios sendo 1 Suíte. Sala de Tv e Jantar Integrados. Cozinha c/ Pé Direito Alto. Banheiro Social. Lavanderia Coberta. Vaga para 2 Carros. Jardinagem Pronta. Acabamento Fino. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. . br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: dxojDicI1ouglwd7"
R$ 890.000,Rua Capitão Zéca de Paula 428,"Jardim Consolação, Franca","135 m² tot.
3 quartos
3 ban.","135m² 03 dormitórios, sendo 01 suíte. Sala de tv. Sala de Jantar. Sacada Gourmet. 03 Vagas de garagem"
R$ 235.600,Endereço não informado,"Jardim Primavera, Franca","41 m² tot.
2 quartos
1 banheiro
1 vaga","Lançamento imperdivel: &#xD; Seu novo lar versalhes residence! &#xD; Em uma ótima localização de Franca, Jardim Primavera próximo á morada do verde. &#xD; &#xD; * condições especiais de lançamento! &#xD; &#xD; Apartamentos com 2 dormitórios &#xD; Sala e cozinha conjugadas, &#xD; Sacada. &#xD; 1 Vaga de garagem &#xD; &#xD; 1 vaga de garagem &#xD; &#xD; * Portarias 24 horas &#xD; * Bicicletário &#xD; * Piscina &#xD; * Pet Care &#xD; * Playground&#xD; &#xD; apartementos 41, 09 m² Á 53, 99 m²&#xD; &#xD; Garante já o seu! &#xD; &#xD; fale agora com um especialista sold! &#xD; &#xD; valores podem variar conforme unidade e tabela vigente - 31/08/2025"
R$ 180.000,Rua José Henrique de Almeida 3900,"Parque Santa Hilda, Franca",250 m² tot.,250m² Vizinhos definidos. ótima localização. Já aterrado
R$ 600.000,Rua Marechal Caxias 2729,"Prolongamento Vila Duque de Caxias, Franca","250 m² tot.
3 quartos
4 ban.
1 vaga","Terreno: 250 m² Área construída: 200 m² 3 dormitórios, sendo 2 Suítes. Cozinha com planejados. Garagem para 2 carros. Varanda com despensa"
R$ 500.000,Avenida Lázaro de Souza Campos 971,"São José, Franca","159 m² tot.
3 quartos
2 ban.
2 vagas","03 dormitórios, sendo 1 suite. Sala de tv. Cozinha. 02 Vagas de Garagem. Terreno 159m² Construção 113m² Excelente Localização"
R$ 550.000,Rua Félix Balerini 1300,"Santo Agostinho, Franca","250 m² tot.
3 quartos
5 ban.
2 vagas",03 Suítes. Closet em uma das Suítes. Sala tv. Sala Jantar. Cozinha. Garagem pra 02 carros. Edícula
R$ 3.000.000,Rodovia João Traficante,"Jardim Palestina, Franca","3000 m² tot.
5 quartos
7 ban.
10 vagas","Residência de Alto Padrão em Terreno de 3. 000 m² Uma propriedade exclusiva que une sofisticação, conforto e lazer completo. Casa Principal 310 m² com móveis planejados. Suíte Presidencial banheiro Sr. Sra. , chuveiros e pias individuais. Mais 3 Suítes 2 Suítes para visitantes, todas com sacada integrada. Acabamentos premium Mármore Marfil e Calacatta. Cozinha moderna integrada lavanderia principal e de apoio. Home Cinema de 35 m² Garagem coberta para 4 carros pátio pavimentado 150 m² Área externa e lazer. Piscina de 50. 000 L 8, 5 x 4, 5 m. Área de lazer independente com 230 m² Quadra de Beach Tênis. Pomar formado. Floreira de 30 metros. Terreno todo gramado e murado 4 m de altura. Rua interna pavimentada 100 m x 4 m. Portão amplo de acesso. Infraestrutura completa. Poço artesiano cisterna. Projeto pluvial executado em todo o terreno. Total acessibilidade para pessoas com mobilidade reduzida. Perfeito para quem busca exclusividade, conforto e lazer em um só lugar"
R$ 2.300.000,Endereço não informado,"Núcleo Agrícola Alpha, Franca","360 m² tot.
3 quartos
3 ban.
2 vagas","Maravilhosa residência em condomínio fechado &#xD; &#xD; Sala com pé direito alto, rica em iluminação e lustre, já com painel planejado. &#xD; &#xD; Porta com fechadura eletrônica &#xD; &#xD; Cozinha interna com torre de fornos, geladeira, lava louças e fogão de indução &#xD; &#xD; Granito no branco nanoglass&#xD; &#xD; Cozinha de jantar com iluminação e lustre &#xD; &#xD; Lavanderia ampla com duas bacias e armários&#xD; &#xD; Despensa já com armários&#xD; &#xD; Infra de aspiração de pó &#xD; &#xD; Irrigação automática de jardim&#xD; &#xD; Jardinagem com plantas já formadas &#xD; &#xD; Lavabo com lindo revestimento em pedras naturais&#xD; &#xD; Roupeiro planejado no corredor &#xD; &#xD; 3 suítes já com ar condicionado instalado &#xD; &#xD; Suíte master com closet e bancada dupla no wc&#xD; &#xD; Todos os wc com box instalados&#xD; &#xD; Janelas automáticas nos dormitórios&#xD; &#xD; Área gourmet com ilha, fogão marca Invitta, e mesa rústica acoplada na ilha&#xD; &#xD; Toldo automático entre piscina e área gourmet &#xD; &#xD; Piscina revestida na pedra hijau, com cascata e hidro&#xD; &#xD; Aquecimento solar&#xD; &#xD; Garagem para 2 carros coberta&#xD; &#xD; Ponto para carregamento carro elétrico&#xD; &#xD; Terreno com 360 metros&#xD; Área construída 216. 00 metros&#xD; &#xD; Entre em contato&#xD; João Paulo&#xD; 16 Ver dados - 31/08/2025"
R$ 830.000,Rua Rio Trombetas 1453,"Residencial Amazonas, Franca","261 m² tot.
4 quartos
4 ban.
2 vagas","173m² de construção. 17m² de área descoberta. 04 dormitórios sendo 02 suítes com sacada, 01 com closet. 02 sacadas amplas, 01 gourmet com churrasqueira. Jacuzzi. 02 vagas de garagem. Rica em armários. Sala de estar e jantar. Condomínio: Portaria eletrônica, academia, salão de festas e playgroud"
R$ 450.000,Endereço não informado,"Prolongamento Vila Duque de Caxias, Franca","207 m² tot.
3 quartos
1 banheiro
4 vagas","3 Dormitórios. Sala de tv e Estar. Cozinha com Armários. Banheiros Social. Comodo nos Fundos. Lavanderia Coberta. Vaga para 4 Carros. Excelente Localização. Próximo a Escola Pestalozzi. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: 9j809K4oxLgWlcy9"
R$ 598.000,Rua Homero Alves AP,"Centro, Franca","158 m² tot.
3 quartos
2 ban.
2 vagas","Venha conhecer o mais novo empreendimento no centro de Franca-sp, localizado no bairro Vila Flores, o Edifício Panplona está em uma região próximo a todos os melhores centros comerciais como Franca Shopping, Easy Center, Oba HortFrut, Sans Club, Cobasi, Pets, farmácias e hospitais. Tudo para contribuir com um bem estar melhor! São 100m² de área privativa de apartamento, com 3 dormitórios com piso indusparquet, salas de tv e jantar, sacada e opções de apartamento garden que possui um amplo quintal."
R$ 800.000,Endereço não informado,"Franca, São Paulo","200 m² tot.
3 quartos
3 ban.
2 vagas","Impecável residência a venda em franca &#xD; &#xD; Casa Moderna. &#xD; &#xD; - Excelente localização: Jardim Natal&#xD; &#xD; - Área total: 141. 63 m²&#xD; - Terreno: 200 m² &#xD; &#xD; - Garagem para 2 carros coberta&#xD; - Área gourmet com banheiro e ducha quente &#xD; - Sistema de som ambiente integrado jbl&#xD; - Piscina aquecida com led, hidromassagem e cascata &#xD; - Cozinha com planejados e torneira 360 ° &#xD; - Sala integrada com pé direto alto painel planejado e lustre &#xD; - 3 dormitórios sendo 1 suíte e closet &#xD; - Lavanderia coberta e corredor &#xD; - Rica em porcelanato fino mármores e pedras&#xD; - Pontos para ar condicionado &#xD; - Riquíssima em iluminação e planejados. - 31/08/2025"
R$ 1.900.000,Rua Vintino Seraphim,"Jardim Santana, Franca","294 m² tot.
3 quartos
4 ban.
3 vagas","Apresentamos esta incrível residência de alto padrão, projetada para quem busca conforto, sofisticação e tecnologia em um só lugar. Com 294m² de terreno e 230m² de construção, esta casa foi pensada em cada detalhe para oferecer funcionalidade, privacidade e lazer para toda a família. 3 suítes espaçosas, com excelente iluminação natural. Escritório reservado, ideal para home office. Cozinha integrada à sala de jantar e estar. Piscina central com iluminação, hidro e aquecimento. Ambientes com acabamento em madeira, régua de concreto e ripados de alumínio. Automação residencial completa e sistema de som embutido. Aquecimento solar. Pré-instalação para carregador de carro elétrico. Jardim com irrigação automatizada. 3 vagas de garagem coberta. Este imóvel é perfeito para quem valoriza o design contemporâneo, a sustentabilidade e a praticidade no dia a dia. Localização privilegiada em bairro tranquilo e de fácil acesso."
R$ 420.000,Endereço não informado,"Vila Santa Cruz, Franca","140 m² tot.
3 quartos
2 ban.
2 vagas","3 Dormitórios sendo 1 Suíte c/ Closet. Sala de Tv e Jantar Integrados c/ Pé Direito Alto. Cozinha Moderna. Banheiros c/ Pia Esculpida e Nicho. Lavanderia Coberta c/ Corredor Lateral. Garagem p/ 2 Carros. Área Gourmet. Iluminação em Led. Preparado p/ Aquecimento. Acabamento Fino em Porcelanato. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. . br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: B21Q8rubsfbv7bTz"
